instance,featcputime
CVPR/ChineseChars/TST_test_0001_88_115.uai,2.77
CVPR/ChineseChars/TST_test_0002_88_105.uai,2.24
CVPR/ChineseChars/TST_test_0003_64_99.uai,1.76
CVPR/ChineseChars/TST_test_0004_88_97.uai,2.25
CVPR/ChineseChars/TST_test_0005_120_97.uai,2.97
CVPR/ChineseChars/TST_test_0006_112_99.uai,2.79
CVPR/ChineseChars/TST_test_0007_88_112.uai,2.86
CVPR/ChineseChars/TST_test_0008_80_102.uai,2.17
CVPR/ChineseChars/TST_test_0009_64_80.uai,1.31
CVPR/ChineseChars/TST_test_0010_80_109.uai,2.56
CVPR/ChineseChars/TST_test_0011_96_101.uai,2.84
CVPR/ChineseChars/TST_test_0012_88_103.uai,2.48
CVPR/ChineseChars/TST_test_0013_64_94.uai,1.71
CVPR/ChineseChars/TST_test_0014_72_73.uai,1.28
CVPR/ChineseChars/TST_test_0015_80_73.uai,1.62
CVPR/ChineseChars/TST_test_0016_72_83.uai,1.53
CVPR/ChineseChars/TST_test_0017_112_101.uai,2.94
CVPR/ChineseChars/TST_test_0018_80_110.uai,2.5
CVPR/ChineseChars/TST_test_0019_120_106.uai,3.34
CVPR/ChineseChars/TST_test_0020_96_94.uai,2.32
CVPR/ChineseChars/TST_test_0021_112_124.uai,3.5
CVPR/ChineseChars/TST_test_0022_80_85.uai,1.89
CVPR/ChineseChars/TST_test_0023_112_112.uai,3.23
CVPR/ChineseChars/TST_test_0024_88_126.uai,2.9
CVPR/ChineseChars/TST_test_0025_64_92.uai,1.5
CVPR/ChineseChars/TST_test_0026_56_92.uai,1.26
CVPR/ChineseChars/TST_test_0027_88_109.uai,2.79
CVPR/ChineseChars/TST_test_0028_48_105.uai,1.23
CVPR/ChineseChars/TST_test_0029_96_117.uai,3.03
CVPR/ChineseChars/TST_test_0030_112_123.uai,3.55
CVPR/ChineseChars/TST_test_0031_64_78.uai,1.29
CVPR/ChineseChars/TST_test_0032_64_89.uai,1.48
CVPR/ChineseChars/TST_test_0033_88_84.uai,2.11
CVPR/ChineseChars/TST_test_0034_112_94.uai,2.59
CVPR/ChineseChars/TST_test_0035_80_86.uai,2.24
CVPR/ChineseChars/TST_test_0036_72_114.uai,2.04
CVPR/ChineseChars/TST_test_0037_80_101.uai,2.55
CVPR/ChineseChars/TST_test_0038_96_110.uai,2.92
CVPR/ChineseChars/TST_test_0039_80_99.uai,2.06
CVPR/ChineseChars/TST_test_0040_80_93.uai,1.8
CVPR/ChineseChars/TST_test_0041_88_96.uai,2.2
CVPR/ChineseChars/TST_test_0042_72_104.uai,1.77
CVPR/ChineseChars/TST_test_0043_72_106.uai,1.84
CVPR/ChineseChars/TST_test_0044_56_93.uai,1.3
CVPR/ChineseChars/TST_test_0045_80_120.uai,2.72
CVPR/ChineseChars/TST_test_0046_96_105.uai,2.7
CVPR/ChineseChars/TST_test_0047_112_121.uai,3.5
CVPR/ChineseChars/TST_test_0048_72_98.uai,1.85
CVPR/ChineseChars/TST_test_0049_96_79.uai,1.98
CVPR/ChineseChars/TST_test_0050_88_94.uai,2.12
CVPR/ChineseChars/TST_test_0051_64_106.uai,1.7
CVPR/ChineseChars/TST_test_0052_96_107.uai,2.92
CVPR/ChineseChars/TST_test_0053_88_118.uai,2.61
CVPR/ChineseChars/TST_test_0054_88_106.uai,2.56
CVPR/ChineseChars/TST_test_0055_96_108.uai,2.62
CVPR/ChineseChars/TST_test_0056_88_112.uai,2.66
CVPR/ChineseChars/TST_test_0057_80_95.uai,1.99
CVPR/ChineseChars/TST_test_0058_144_124.uai,4.74
CVPR/ChineseChars/TST_test_0059_104_73.uai,1.83
CVPR/ChineseChars/TST_test_0060_80_111.uai,2.48
CVPR/ChineseChars/TST_test_0061_88_86.uai,2.1
CVPR/ChineseChars/TST_test_0062_88_106.uai,2.46
CVPR/ChineseChars/TST_test_0063_120_108.uai,3.64
CVPR/ChineseChars/TST_test_0064_80_103.uai,2.21
CVPR/ChineseChars/TST_test_0065_104_94.uai,2.8
CVPR/ChineseChars/TST_test_0066_96_121.uai,2.97
CVPR/ChineseChars/TST_test_0067_96_121.uai,3.02
CVPR/ChineseChars/TST_test_0068_72_94.uai,1.78
CVPR/ChineseChars/TST_test_0069_96_109.uai,2.98
CVPR/ChineseChars/TST_test_0070_88_96.uai,2.27
CVPR/ChineseChars/TST_test_0071_72_94.uai,1.81
CVPR/ChineseChars/TST_test_0072_96_113.uai,2.67
CVPR/ChineseChars/TST_test_0073_128_113.uai,3.98
CVPR/ChineseChars/TST_test_0074_96_107.uai,2.59
CVPR/ChineseChars/TST_test_0075_88_92.uai,2.15
CVPR/ChineseChars/TST_test_0076_80_93.uai,2.03
CVPR/ChineseChars/TST_test_0077_96_95.uai,2.31
CVPR/ChineseChars/TST_test_0078_72_108.uai,2.07
CVPR/ChineseChars/TST_test_0079_88_81.uai,1.71
CVPR/ChineseChars/TST_test_0080_104_107.uai,2.82
CVPR/ChineseChars/TST_test_0081_112_96.uai,2.81
CVPR/ChineseChars/TST_test_0082_96_106.uai,2.62
CVPR/ChineseChars/TST_test_0083_72_105.uai,2.14
CVPR/ChineseChars/TST_test_0084_120_115.uai,3.82
CVPR/ChineseChars/TST_test_0085_64_126.uai,2.08
CVPR/ChineseChars/TST_test_0086_80_112.uai,2.38
CVPR/ChineseChars/TST_test_0087_88_124.uai,2.73
CVPR/ChineseChars/TST_test_0088_104_107.uai,2.72
CVPR/ChineseChars/TST_test_0089_72_92.uai,1.72
CVPR/ChineseChars/TST_test_0090_104_116.uai,3.03
CVPR/ChineseChars/TST_test_0091_136_95.uai,3.31
CVPR/ChineseChars/TST_test_0092_96_111.uai,2.8
CVPR/ChineseChars/TST_test_0093_104_105.uai,3.16
CVPR/ChineseChars/TST_test_0094_64_131.uai,2.45
CVPR/ChineseChars/TST_test_0095_128_109.uai,3.77
CVPR/ChineseChars/TST_test_0096_56_107.uai,1.63
CVPR/ChineseChars/TST_test_0097_56_111.uai,1.55
CVPR/ChineseChars/TST_test_0098_112_98.uai,2.88
CVPR/ChineseChars/TST_test_0099_72_105.uai,1.92
CVPR/ChineseChars/TST_test_0100_80_102.uai,2.22
CVPR/ColorSeg-4/clownfish-small.uai,35.54
CVPR/ColorSeg-4/crops-small.uai,35.04
CVPR/ColorSeg-4/fourcolors.uai,3.67
CVPR/ColorSeg-4/lake-small.uai,35.0
CVPR/ColorSeg-4/palm-small.uai,34.99
CVPR/ColorSeg-4/penguin-small.uai,14.65
CVPR/ColorSeg-4/pfau-small.uai,30.92
CVPR/ColorSeg-4/snail.uai,2.87
CVPR/ColorSeg-4/strawberry-glass-2-small.uai,32.18
CVPR/ColorSeg-8/clownfish-small.uai,44.35
CVPR/ColorSeg-8/crops-small.uai,44.4
CVPR/ColorSeg-8/fourcolors.uai,6.57
CVPR/ColorSeg-8/lake-small.uai,43.04
CVPR/ColorSeg-8/palm-small.uai,43.05
CVPR/ColorSeg-8/penguin-small.uai,26.84
CVPR/ColorSeg-8/pfau-small.uai,40.63
CVPR/ColorSeg-8/snail.uai,5.49
CVPR/ColorSeg-8/strawberry-glass-2-small.uai,40.55
CVPR/ColorSeg/colseg-cow3.uai,29.38
CVPR/ColorSeg/colseg-cow4.uai,44.37
CVPR/ColorSeg/colseg-garden4.uai,2.34
CVPR/GeomSurf-3/gm1.uai,0.03
CVPR/GeomSurf-3/gm10.uai,0.07
CVPR/GeomSurf-3/gm100.uai,0.01
CVPR/GeomSurf-3/gm101.uai,0.0
CVPR/GeomSurf-3/gm102.uai,0.03
CVPR/GeomSurf-3/gm103.uai,0.01
CVPR/GeomSurf-3/gm104.uai,0.03
CVPR/GeomSurf-3/gm105.uai,0.0
CVPR/GeomSurf-3/gm106.uai,0.0
CVPR/GeomSurf-3/gm107.uai,0.06
CVPR/GeomSurf-3/gm108.uai,0.0
CVPR/GeomSurf-3/gm109.uai,0.03
CVPR/GeomSurf-3/gm11.uai,0.0
CVPR/GeomSurf-3/gm110.uai,0.05
CVPR/GeomSurf-3/gm111.uai,0.01
CVPR/GeomSurf-3/gm112.uai,0.05
CVPR/GeomSurf-3/gm113.uai,0.04
CVPR/GeomSurf-3/gm114.uai,0.06
CVPR/GeomSurf-3/gm115.uai,0.04
CVPR/GeomSurf-3/gm116.uai,0.07
CVPR/GeomSurf-3/gm117.uai,0.01
CVPR/GeomSurf-3/gm118.uai,0.05
CVPR/GeomSurf-3/gm119.uai,0.03
CVPR/GeomSurf-3/gm12.uai,0.01
CVPR/GeomSurf-3/gm120.uai,0.01
CVPR/GeomSurf-3/gm121.uai,0.06
CVPR/GeomSurf-3/gm122.uai,0.01
CVPR/GeomSurf-3/gm123.uai,0.05
CVPR/GeomSurf-3/gm124.uai,0.04
CVPR/GeomSurf-3/gm125.uai,0.05
CVPR/GeomSurf-3/gm126.uai,0.06
CVPR/GeomSurf-3/gm127.uai,0.01
CVPR/GeomSurf-3/gm128.uai,0.07
CVPR/GeomSurf-3/gm129.uai,0.01
CVPR/GeomSurf-3/gm13.uai,0.03
CVPR/GeomSurf-3/gm130.uai,0.03
CVPR/GeomSurf-3/gm131.uai,0.04
CVPR/GeomSurf-3/gm132.uai,0.05
CVPR/GeomSurf-3/gm133.uai,0.01
CVPR/GeomSurf-3/gm134.uai,0.02
CVPR/GeomSurf-3/gm135.uai,0.03
CVPR/GeomSurf-3/gm136.uai,0.02
CVPR/GeomSurf-3/gm137.uai,0.07
CVPR/GeomSurf-3/gm138.uai,0.03
CVPR/GeomSurf-3/gm139.uai,0.03
CVPR/GeomSurf-3/gm14.uai,0.0
CVPR/GeomSurf-3/gm140.uai,0.07
CVPR/GeomSurf-3/gm141.uai,0.07
CVPR/GeomSurf-3/gm142.uai,0.06
CVPR/GeomSurf-3/gm143.uai,0.05
