instance,toulbar2,tb2incop,mplp2,cplexdirect,cplextuple
WCSP/Pedigree/berrichon1.uai,0.028427,1.48315,3.05405,inf,inf
WCSP/Pedigree/langladeM9.uai,0.0985063,0.0985063,1.73207,inf,0.0985063
WCSP/Pedigree/moissac2.uai,0.0,0.0,0.0,inf,0.0
WCSP/Pedigree/moissac4.uai,0.0,0.0,0.0,0.0,0.0
WCSP/Pedigree/langladeM7.uai,0.0801505,0.0801505,2.47073,0.0801505,0.0801505
WCSP/Pedigree/langladeM4.uai,0.158117,0.158117,3.04705,3.03388,0.158117
WCSP/Pedigree/langladeM2.uai,0.3322,0.3322,2.99345,2.9606,0.3322
WCSP/Pedigree/moissac3.uai,0.0,0.0,0.0,0.0,0.0
WCSP/Pedigree/moissac1.uai,0.0,0.0,0.0,0.0,0.0
WCSP/Pedigree/langlade3.uai,0.151947,0.151947,3.06622,inf,0.151947
WCSP/SPOT5/1407.uai,7.25141,6.78794,inf,inf,inf
WCSP/SPOT5/54.uai,3.15539,3.15539,3.15539,3.15539,3.15539
WCSP/SPOT5/1502.uai,2.89544,2.89544,2.89885,2.89565,2.89565
WCSP/SPOT5/505.uai,6.77196,5.69929,5.70975,5.69822,5.69822
WCSP/SPOT5/1401.uai,7.28077,6.81688,7.52761,inf,7.75915
WCSP/SPOT5/408.uai,7.16173,6.16957,6.17155,6.16067,6.16166
WCSP/SPOT5/28.uai,7.90983,7.65568,8.02369,7.62744,7.99455
WCSP/SPOT5/1504.uai,5.88056,5.23539,5.72086,5.20252,5.55772
WCSP/SPOT5/29.uai,3.69431,3.69431,3.69431,3.69431,3.69431
WCSP/SPOT5/5.uai,6.96272,6.47411,6.93829,6.52297,6.49854
WCSP/SPOT5/509.uai,7.37,6.04559,6.87792,7.37431,8.53397
WCSP/SPOT5/503.uai,5.06546,5.06455,5.06455,5.065,5.06455
WCSP/SPOT5/414.uai,7.97863,5.85094,7.6783,7.67845,8.58521
WCSP/SPOT5/507.uai,6.80618,5.936,6.15409,5.93622,6.37412
WCSP/SPOT5/1405.uai,7.25154,6.86038,inf,inf,7.78763
WCSP/SPOT5/1403.uai,7.29493,6.81667,inf,inf,7.7731
WCSP/SPOT5/42.uai,5.63749,5.42746,5.77751,5.42746,5.49747
WCSP/SPOT5/1506.uai,7.12729,6.45796,inf,inf,7.42677
WCSP/SPOT5/404.uai,6.40231,6.40231,6.40231,6.40231,6.40231
WCSP/SPOT5/412.uai,7.29491,6.1534,6.15378,6.1515,6.15302
WCSP/ProteinDesign/2DHC.14p.19aa.usingEref_self_digit2.uai,0.505789,0.505789,0.506454,inf,inf
WCSP/ProteinDesign/1PGB.11p.9aa.usingEref_self_digit2.uai,0.295449,0.295449,0.295449,0.295774,0.295449
WCSP/ProteinDesign/1HZ5.12p.9aa.usingEref_self_digit2.uai,0.352099,0.352099,0.352141,0.355235,0.352099
WCSP/ProteinDesign/2TRX.11p.8aa.usingEref_self_digit2.uai,0.660111,0.660111,0.660111,0.661798,0.660111
WCSP/ProteinDesign/1HZ5.12p.19aa.usingEref_self_digit2.uai,0.11934,0.11934,0.119469,inf,0.257285
WCSP/ProteinDesign/1CM1.17p.19aa.usingEref_self_digit2.uai,0.444924,0.444924,0.444996,inf,0.444924
WCSP/ProteinDesign/1UBI.13p.19aa.usingEref_self_digit2.uai,0.121463,0.121335,0.122314,inf,0.275498
WCSP/ProteinDesign/1UBI.13p.9aa.usingEref_self_digit2.uai,0.293104,0.293104,0.293148,0.29534,0.293104
WCSP/ProteinDesign/1PGB.11p.19aa.usingEref_self_digit2.uai,0.126743,0.126743,0.126793,0.127921,0.128959
WCSP/ProteinDesign/2PCY.18p.8aa.usingEref_self_digit2.uai,0.443857,0.443857,0.443857,0.446918,0.443857
WCSP/CELAR/graph06_r.uai,9.49356,9.49356,9.49356,693.292,9.49356
WCSP/CELAR/CELAR7-SUB4_r.uai,1.11094,1.11094,1.25302,20.3148,57.4328
WCSP/CELAR/graph05_r.uai,0.656608,0.656608,0.656608,61.1953,0.656608
WCSP/CELAR/CELAR6-SUB1_r.uai,11.1738,11.1738,13.4178,26.2913,16.1683
WCSP/CELAR/scen07_r.uai,1.80062,1.62007,1.76495,1620.2,871.365
WCSP/CELAR/CELAR6-SUB0_r.uai,0.665656,0.665656,0.665656,1.63693,0.707522
WCSP/CELAR/CELAR6-SUB4_r.uai,13.5225,13.5225,13.5225,35.7194,44.9172
WCSP/CELAR/CELAR7-SUB1_r.uai,0.653613,0.653613,0.654099,10.7355,5.74269
WCSP/CELAR/CELAR7-SUB3_r.uai,0.932306,0.932306,1.47658,2.0751,80.4386
WCSP/CELAR/CELAR7-SUB2_r.uai,0.793886,0.793886,1.29421,2.2139,1.29978
WCSP/CELAR/graph11_r.uai,29.1415,26.7699,7.13571,1243.45,746.118
WCSP/CELAR/graph13_r.uai,62.8283,55.1492,23.2791,1826.66,1053.81
WCSP/CELAR/CELAR6-SUB2_r.uai,11.4962,11.4962,13.041,26.8314,94.7032
WCSP/CELAR/scen06_r.uai,14.1881,14.1881,17.2024,85.3715,275.95
WCSP/CELAR/scen08_r.uai,366.44,213.154,337.493,5674.23,inf
WCSP/CELAR/CELAR6-SUB3_r.uai,12.8903,12.8903,13.3634,45.4907,43.343
WCSP/Auction/cat_paths_60_150_0004.uai,7.51421,7.51421,7.61399,7.51421,7.51421
WCSP/Auction/cat_sched_60_140_0003.uai,8.95682,8.95682,8.95682,8.95682,8.95682
WCSP/Auction/cat_sched_60_150_0003.uai,9.00425,9.00425,9.00425,9.00425,9.00425
WCSP/Auction/cat_sched_60_150_0004.uai,9.0156,9.0156,9.0156,9.0156,9.0156
WCSP/Auction/cat_paths_60_90_0001.uai,7.26568,7.26568,7.26718,7.26568,7.26568
WCSP/Auction/cat_sched_60_130_0001.uai,8.82806,8.82806,8.82806,8.82806,8.82806
WCSP/Auction/cat_paths_60_110_0000.uai,7.45307,7.45307,7.56494,7.45307,7.45307
WCSP/Auction/cat_paths_60_120_0006.uai,7.52779,7.52779,7.70746,7.52779,7.52779
WCSP/Auction/cat_paths_60_130_0005.uai,7.26268,7.26268,7.32727,7.26268,7.26268
WCSP/Auction/cat_paths_60_140_0007.uai,7.37449,7.37449,7.54307,7.37449,7.37449
WCSP/Auction/cat_paths_60_150_0000.uai,7.61006,7.61006,7.78239,7.61006,7.61006
WCSP/Auction/cat_sched_60_170_0003.uai,8.97342,8.97342,8.97342,8.97342,8.97342
WCSP/Auction/cat_paths_60_100_0000.uai,7.42036,7.42036,7.50638,7.42036,7.42036
WCSP/Auction/cat_paths_60_150_0001.uai,7.73498,7.73498,7.86739,7.73498,7.73498
WCSP/Auction/cat_sched_60_130_0004.uai,9.03024,9.03024,9.03024,9.03024,9.03024
WCSP/Auction/cat_paths_60_100_0002.uai,7.1273,7.1273,7.20474,7.1273,7.1273
WCSP/Auction/cat_paths_60_100_0005.uai,7.36217,7.36217,7.42467,7.36217,7.36217
WCSP/Auction/cat_sched_60_70_0001.uai,9.00197,9.00197,9.00197,9.00197,9.00197
WCSP/Auction/cat_sched_60_100_0001.uai,9.02786,9.02786,9.02786,9.02786,9.02786
WCSP/Auction/cat_sched_60_180_0005.uai,9.01676,9.01676,9.01676,9.01676,9.01676
WCSP/Auction/cat_paths_60_70_0004.uai,6.63901,6.63901,6.66464,6.63901,6.63901
WCSP/Auction/cat_sched_60_110_0003.uai,8.9986,8.9986,8.9986,8.9986,8.9986
