instance,toulbar2,tb2incop,mplp2,cplexdirect,cplextuple
WCSP/Pedigree/berrichon1.uai,1,1,1,0,0
WCSP/Pedigree/langladeM9.uai,1,1,1,0,1
WCSP/Pedigree/moissac2.uai,1,1,1,0,1
WCSP/Pedigree/moissac4.uai,1,1,1,1,1
WCSP/Pedigree/langladeM7.uai,1,1,1,1,1
WCSP/Pedigree/langladeM4.uai,1,1,1,1,1
WCSP/Pedigree/langladeM2.uai,1,1,1,1,1
WCSP/Pedigree/moissac3.uai,1,1,1,1,1
WCSP/Pedigree/moissac1.uai,1,1,1,1,1
WCSP/Pedigree/langlade3.uai,1,1,1,0,1
WCSP/SPOT5/1407.uai,1,1,0,0,0
WCSP/SPOT5/54.uai,1,1,1,1,1
WCSP/SPOT5/1502.uai,1,1,1,1,1
WCSP/SPOT5/505.uai,1,1,1,1,1
WCSP/SPOT5/1401.uai,1,1,1,0,1
WCSP/SPOT5/408.uai,1,1,1,1,1
WCSP/SPOT5/28.uai,1,1,1,1,1
WCSP/SPOT5/1504.uai,1,1,1,1,1
WCSP/SPOT5/29.uai,1,1,1,1,1
WCSP/SPOT5/5.uai,1,1,1,1,1
WCSP/SPOT5/509.uai,1,1,1,1,1
WCSP/SPOT5/503.uai,1,1,1,1,1
WCSP/SPOT5/414.uai,1,1,1,1,1
WCSP/SPOT5/507.uai,1,1,1,1,1
WCSP/SPOT5/1405.uai,1,1,0,0,1
WCSP/SPOT5/1403.uai,1,1,0,0,1
WCSP/SPOT5/42.uai,1,1,1,1,1
WCSP/SPOT5/1506.uai,1,1,0,0,1
WCSP/SPOT5/404.uai,1,1,1,1,1
WCSP/SPOT5/412.uai,1,1,1,1,1
WCSP/ProteinDesign/2DHC.14p.19aa.usingEref_self_digit2.uai,1,1,1,0,0
WCSP/ProteinDesign/1PGB.11p.9aa.usingEref_self_digit2.uai,1,1,1,1,1
WCSP/ProteinDesign/1HZ5.12p.9aa.usingEref_self_digit2.uai,1,1,1,1,1
WCSP/ProteinDesign/2TRX.11p.8aa.usingEref_self_digit2.uai,1,1,1,1,1
WCSP/ProteinDesign/1HZ5.12p.19aa.usingEref_self_digit2.uai,1,1,1,0,1
WCSP/ProteinDesign/1CM1.17p.19aa.usingEref_self_digit2.uai,1,1,1,0,1
WCSP/ProteinDesign/1UBI.13p.19aa.usingEref_self_digit2.uai,1,1,1,0,1
WCSP/ProteinDesign/1UBI.13p.9aa.usingEref_self_digit2.uai,1,1,1,1,1
WCSP/ProteinDesign/1PGB.11p.19aa.usingEref_self_digit2.uai,1,1,1,1,1
WCSP/ProteinDesign/2PCY.18p.8aa.usingEref_self_digit2.uai,1,1,1,1,1
