instance,toulbar2,tb2incop,mplp2,cplexdirect,cplextuple
WCSP/Pedigree/berrichon1.uai,148.93,1252.65,1200.0,1200.0,1200.0
WCSP/Pedigree/langladeM9.uai,3.41,55.7,1200.0,1200.0,213.53
WCSP/Pedigree/moissac2.uai,2.51,32.42,744.31,1200.0,46.13
WCSP/Pedigree/moissac4.uai,0.02,1.27,2.57,0.36,0.14
WCSP/Pedigree/langladeM7.uai,0.39,4.88,1200.0,245.8,11.73
WCSP/Pedigree/langladeM4.uai,17.27,21.73,1200.0,1200.0,67.88
WCSP/Pedigree/langladeM2.uai,20.68,47.89,1200.0,1198.8,74.84
WCSP/Pedigree/moissac3.uai,0.04,0.77,8.05,3.1,0.61
WCSP/Pedigree/moissac1.uai,0.02,0.49,2.69,0.36,0.15
WCSP/Pedigree/langlade3.uai,7.19,39.01,1200.0,1200.0,159.08
WCSP/SPOT5/1407.uai,1200.0,1193.97,1200.0,1200.0,1200.0
WCSP/SPOT5/54.uai,0.11,0.99,280.05,0.44,3.06
WCSP/SPOT5/1502.uai,0.01,0.47,1200.0,0.49,0.42
WCSP/SPOT5/505.uai,1200.0,1190.48,1200.0,61.75,1198.11
WCSP/SPOT5/1401.uai,1200.0,1191.89,1200.0,1200.0,1199.35
WCSP/SPOT5/408.uai,1200.0,1190.41,1200.0,113.59,1198.57
WCSP/SPOT5/28.uai,1200.0,1190.63,1200.0,237.44,1189.56
WCSP/SPOT5/1504.uai,1200.0,1190.88,1200.0,1198.82,1193.12
WCSP/SPOT5/29.uai,0.07,0.84,1200.0,0.3,1.77
WCSP/SPOT5/5.uai,1200.0,1191.35,1200.0,1196.72,1197.18
WCSP/SPOT5/509.uai,1200.0,1192.58,1200.0,1197.87,1196.91
WCSP/SPOT5/503.uai,1200.0,1190.31,1200.0,1.75,14.46
WCSP/SPOT5/414.uai,1200.0,1193.32,1200.0,1197.63,1199.01
WCSP/SPOT5/507.uai,1200.0,1191.86,1200.0,1198.66,1198.8
WCSP/SPOT5/1405.uai,1200.0,1194.45,1200.0,1200.0,1199.68
WCSP/SPOT5/1403.uai,1200.0,1193.63,1200.0,1200.0,1199.01
WCSP/SPOT5/42.uai,1200.0,1190.35,1200.0,28.74,1198.69
WCSP/SPOT5/1506.uai,1200.0,1194.31,1200.0,1200.0,1199.69
WCSP/SPOT5/404.uai,184.78,111.27,1084.03,0.6,3.01
WCSP/SPOT5/412.uai,1200.0,1190.71,1200.0,270.96,1198.62
WCSP/ProteinDesign/2DHC.14p.19aa.usingEref_self_digit2.uai,53.59,120.36,1200.0,1200.0,1200.0
WCSP/ProteinDesign/1PGB.11p.9aa.usingEref_self_digit2.uai,0.13,2.73,1.8,1198.73,5.5
WCSP/ProteinDesign/1HZ5.12p.9aa.usingEref_self_digit2.uai,0.17,2.74,26.93,1198.75,26.55
WCSP/ProteinDesign/2TRX.11p.8aa.usingEref_self_digit2.uai,0.1,2.6,1.57,1198.68,3.77
